date,time,toplam,dogalgaz,ruzgar,linyit,tasKomur,ithalKomur,fuelOil,jeotermal,barajli,nafta,biokutle,akarsu,gunes,diger
2025-02-16 13:00:00+00:00,16:00,31014.14,9598.17,1677.59,3479.55,269.0,8882.5,13.8,1106.69,2878.13,0.0,940.1,771.56,1265.05,132.0
2025-02-16 14:00:00+00:00,17:00,35026.76,12245.69,1553.38,3533.25,269.0,8868.5,10.5,1107.85,4707.53,0.0,913.14,1250.04,433.28,134.6
2025-02-16 15:00:00+00:00,18:00,37788.87,12870.42,1543.92,3525.5,269.0,8855.5,7.5,1112.55,6936.23,0.0,926.05,1596.59,11.51,134.1
2025-02-16 16:00:00+00:00,19:00,38463.24,12868.7,1620.37,3452.6,269.0,8892.5,7.5,1122.47,7593.83,0.0,928.48,1573.79,0.0,134.0
2025-02-16 17:00:00+00:00,20:00,38034.78,12823.93,1696.95,3497.3,269.0,8892.5,7.5,1130.24,7321.03,0.0,926.28,1336.05,0.0,134.0
2025-02-16 18:00:00+00:00,21:00,37308.64,12622.0,1870.46,3569.5,269.0,8935.5,7.5,1137.1,6541.23,0.0,926.78,1295.57,0.0,134.0
2025-02-16 19:00:00+00:00,22:00,36793.08,11760.88,1998.13,3581.5,269.0,8935.5,7.5,1142.44,7012.03,0.0,919.03,1033.07,0.0,134.0
2025-02-16 20:00:00+00:00,23:00,35375.81,11073.4,2048.6,3579.5,269.0,8935.5,7.5,1146.83,6297.73,0.0,918.63,965.12,0.0,134.0
2025-02-16 21:00:00+00:00,00:00,33227.51,9916.76,2239.93,3638.5,269.0,9285.5,7.5,1139.86,4631.93,0.0,937.62,1015.51,0.0,145.4
2025-02-16 22:00:00+00:00,01:00,30713.65,9169.92,2282.8,3470.1,269.0,9285.5,7.5,1141.07,3094.03,0.0,942.56,906.67,0.0,144.5
2025-02-16 23:00:00+00:00,02:00,29380.46,9037.08,2395.0,3491.5,269.0,9285.5,7.5,1143.83,2038.03,0.0,941.11,629.61,0.0,142.3
